Risk,Description,Category,Level,Type,Key,Traversal Parameters,URL
Bribery and Corruption (from Adverse Media),"The entity has been mentioned by official government websites or mass media outlets as wanted, charged, indicted, prosecuted, convicted, or sentenced for criminal activity related to bribery and corruption.",adverse_media,Elevated,seed,reputational_risk_bribery_and_corruption,,
Cybercrime (from Adverse Media),"The entity has been mentioned by official government websites or mass media outlets as wanted, charged, indicted, prosecuted, convicted, or sentenced for criminal activity related to cybercrime.",adverse_media,Elevated,seed,reputational_risk_cybercrime,,
Financial Crime (from Adverse Media),"The entity has been mentioned by official government websites or mass media outlets as wanted, charged, indicted, prosecuted, convicted, or sentenced for criminal activity related to financial crime.",adverse_media,Elevated,seed,reputational_risk_financial_crime,,
Forced Labor and Modern Slavery (from Adverse Media),"The entity has been mentioned by official government websites or mass media outlets as wanted, charged, indicted, prosecuted, convicted, or sentenced for criminal activity related to forced labor and modern slavery.",adverse_media,Elevated,seed,reputational_risk_forced_labor,,
Law Enforcement Action (from Adverse Media),"The entity has been mentioned by official government websites or mass media outlets as wanted, charged, indicted, prosecuted, convicted, or sentenced in relation to a law enforcement action.",adverse_media,Elevated,seed,law_enforcement_action,,
Organized Crime (from Adverse Media),"The entity has been mentioned by official government websites or mass media outlets as wanted, charged, indicted, prosecuted, convicted, or sentenced for criminal activity related to organized crime.",adverse_media,Elevated,seed,reputational_risk_organized_crime,,
Other Reputational Risk (from Adverse Media),"The entity has been mentioned by official government websites or mass media outlets as wanted, charged, indicted, prosecuted, convicted, or sentenced for criminal activity related to other reputational risk.",adverse_media,Elevated,seed,reputational_risk_other,,
Terrorism (from Adverse Media),"The entity has been mentioned by official government websites or mass media outlets as wanted, charged, indicted, prosecuted, convicted, or sentenced for criminal activity related to terrorism.",adverse_media,Elevated,seed,reputational_risk_terrorism,,
Exports Cattle from High-Risk Country for Deforestation (EUDR),"This entity exports cattle or cattle products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for cattle may include Paraguay, Bolivia, Nigeria, Colombia, Democratic Republic of the Congo, Angola, Mexico, Argentina, Myanmar, Brazil.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025.",environmental_risk,Elevated,seed,exports_eudr_shipment_cattle,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_eudr_shipment_cattle']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Cattle from High-Risk Country for Deforestation (EUDR) (May Include 'PSA' Path),"This entity exports cattle or cattle products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for cattle may include Paraguay, Bolivia, Nigeria, Colombia, Democratic Republic of the Congo, Angola, Mexico, Argentina, Myanmar, Brazil.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",environmental_risk,Elevated,seed,psa_exports_eudr_shipment_cattle,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_eudr_shipment_cattle']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Cocoa from High-Risk Country for Deforestation (EUDR),"This entity exports cocoa or cocoa products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for cocoa may include Côte d'Ivoire, Ghana, Colombia, Republic of the Congo, Papua New Guinea, Cameroon, Peru.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025.",environmental_risk,Elevated,seed,exports_eudr_shipment_cocoa,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_eudr_shipment_cocoa']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
